"id","related_with_name","related_with_desc","created_at","created_by","modified_at","modified_by"
"1","Maruti Suzuki Rewards","Maruti Suzuki Rewards ","2023-06-01 13:55:32.291","Admin",NULL,""
"2","Smart Finance","Smart Finance","2023-06-01 13:55:32.291","Admin",NULL,""
"3","Suzuki Connect","Suzuki Connect","2023-06-01 13:55:32.291","Admin",NULL,""
"4","Sales","Sales","2023-06-06 07:54:44.885","Admin",NULL,""
"5","Sales Person","Sales Person","2023-07-18 07:30:49.324549","Admin",NULL,""
"6","Service","Service","2023-09-18 12:19:04.6625","admin",NULL,NULL
"7","Accessories","Accessories","2023-09-18 12:19:04.6625","admin",NULL,NULL
"8","True Value","True Value","2023-09-18 12:19:04.6625","admin",NULL,NULL
"9","MSDS","MSDS","2023-09-18 12:19:04.6625","admin",NULL,NULL
"10","Maruti Suzuki Subscribe","Maruti Suzuki Subscribe","2025-04-01 14:38:04.827666","Admin",NULL,NULL
